stop_code	stop_id	stop_name
51673	490000082FK	Finchley Road, Finchley Road (Stop FK)
76923	490000082R	Finchley Road, Finchley Road (Stop FP)
58598	490000082T	South Hampstead, Canfield Gdns  Finchley Road (Stop FN)
58636	490000083A	Finsbury Park, Finsbury Park Bus Station (Stop A)
77823	490000083AP	Finsbury Park, Finsbury Park Interchange (Stop AP)
73486	490000083B	Finsbury Park, Finsbury Park Bus Station (Stop B)
48639	490000083C	Finsbury Park, Finsbury Park Bus Station (Stop C)
74819	490000083G	Finsbury Park, Finsbury Park Interchange (Stop G)
50989	490000015L	Barking, Barking Station (Stop L)
91335	490000015N	Barking, Barking Station (Stop N)
76418	490000039D	Canning Town, Canning Town (Stop D)
53428	490000039E	Canning Town, Canning Town (Stop E)
54901	490000039F	Canning Town, Canning Town (Stop F)
77940	490000039G	Canning Town, Canning Town (Stop G)
51763	490000039H	Canning Town, Stephenson Street (Stop H)
51664	490000077H	Euston, Euston Station (Stop H)
92073	490000003Y	Aldgate, Aldgate (Stop D)
51391	490000004E	Aldgate East, Aldgate East (Stop E)
52999	490000004N	Aldgate East, Aldgate East (Stop F)
72904	490000004W	Aldgate East, Aldgate East (Stop J)
92127	490000004Z	Aldgate East, Aldgate East (Stop H)
55100	490000005A	Alperton, Alperton (Stop A)
57826	490000005B	Alperton, Alperton (Stop B)
75615	490000007F	Angel, Angel (Stop F)
71360	490000007G	Angel, Angel (Stop G)
59093	490000007R	Angel, Pentonville Road  Baron St (Stop R)
48616	490000007X	Angel, Angel (Stop X)
71007	490000007Y	Angel, Angel (Stop Y)
53339	490000016S	Barkingside, Barkingside (Stop S)
75235	490000013D	City of London, Bank Station  Cornhill (Stop D)
73058	490000013E	City of London, Bank Station  Cornhill (Stop E)
76419	490000013F	City of London, Bank Station  King William St (Stop F)
57079	490000014A	Barbican, Barbican (Stop BA)
73081	490000014B	Barbican, Barbican (Stop BB)
53272	490000015G	Barking, Barking Station (Stop G)
72621	490000015H	Barking, Barking Station (Stop H)
47665	490000015K	Barking, Barking Station (Stop K)
57439	490000024D	Blackhorse Road, Blackhorse Road Station (Stop BD)
58410	490000025BW	Bond Street, Bond Street (Stop BW)
74034	490000026A	The Borough, Borough Station (Stop A)
97500	490000039W	Canning Town, Canning Town (Stop TS1)
53201	490000073R	Elephant & Castle, Elephant & Castle (Stop R)
57749	490000073S	Elephant & Castle, Elephant & Castle (Stop S)
56989	490000073T	Elephant & Castle, Elephant & Castle (Stop T)
51095	490000073V	Elephant & Castle, Elephant & Castle (Stop V)
52895	490000074A	Elm Park, Elm Park (Stop M)
53957	490000074B	Elm Park, Elm Park (Stop C)
76531	490000075F	Embankment, Embankment (Stop 40D)
76141	490000077A	Euston, Euston Station  Eversholt St (Stop A)
53602	490000077AP	Euston, Euston Bus Station (Stop AP)
75100	490000077AZ	Euston, Euston Station (Stop AZ)
57641	490000077B	Euston, Euston Station (Stop B)
73933	490000077C	Euston, Euston Station (Stop C)
56230	490000077D	Euston, Euston Station (Stop D)
58234	490000077E	Euston, Euston Station (Stop E)
58577	490000077F	Euston, Euston Bus Station (Stop F)
71575	490000034M	Burnt Oak, Burnt Oak (Stop M)
76110	490000034N	Burnt Oak, Burnt Oak (Stop N)
56450	490000034R	Burnt Oak, Burnt Oak (Stop R)
53977	490000034S	Burnt Oak, Burnt Oak (Stop S)
91620	490000077J	Euston, Euston Station (Stop J)
50796	490000035A	Caledonian Road, Caledonian Road Station (Stop A)
71144	490000061B	Dudden Hill, Dollis Hill (Stop DB)
52065	490000062A	Ealing, Ealing Broadway Station  Haven Green (Stop A)
72891	490000062B	Ealing Broadway, Ealing Broadway (Stop B)
50606	490000062C	Ealing Broadway, Ealing Broadway (Stop C)
49264	490000062F	Ealing Broadway, Ealing Broadway (Stop F)
47760	490000062H	Ealing Broadway, Ealing Broadway (Stop H)
71884	490000062K	Ealing Broadway, Ealing Broadway (Stop K)
54981	490000062X1	Ealing Broadway, Ealing Broadway (Stop X1)
51852	490000062X2	Ealing Broadway, Ealing Broadway (Stop X2)
53898	490000063S	Ealing Common, Ealing Common (Stop ET)
77705	490000063U	Ealing Common, Ealing Common (Stop EK)
50963	490000064A	Earls Court, Earl's Court (Stop A)
72752	490000064C	Earls Court, Earl's Court (Stop C)
76957	490000065C	College Park, East Acton Station  Fitzneal Street (Stop C)
53503	490000065H	East Acton, East Acton (Stop H)
77530	490000066B	Eastcote, Eastcote (Stop Q)
55287	490000066K	Eastcote, Eastcote (Stop K)
55170	490000083H	Finsbury Park, Finsbury Park Interchange (Stop H)
92116	490000079W	Fairlop, Fairlop (Stop S)
59385	490000080A	Farringdon, Farringdon (Stop A)
49482	490000080B	Farringdon, Farringdon (Stop B)
